Bias,Capacity_10K,Conductivity_10K,Capacity_1M,Conductivity_1M
-3.00000e+00,5.401120e-10,3.847348e-07,5.858766e-10,2.297838e-04
-2.98500e+00,5.482497e-10,7.017670e-08,5.892504e-10,2.340905e-04
-2.97000e+00,5.493533e-10,-8.047228e-08,5.915596e-10,2.361228e-04
-2.95500e+00,5.480718e-10,-2.154039e-07,5.938462e-10,2.362053e-04
-2.94000e+00,5.430372e-10,4.587198e-08,5.956158e-10,2.390099e-04
-2.92500e+00,5.577507e-10,-2.988594e-09,5.973899e-10,2.394466e-04
-2.91000e+00,5.515148e-10,6.243986e-08,5.989477e-10,2.416334e-04
-2.89500e+00,5.506562e-10,6.036605e-07,6.006531e-10,2.387538e-04
-2.88000e+00,5.644613e-10,3.678501e-07,6.016258e-10,2.422709e-04
-2.86500e+00,5.564915e-10,2.636176e-07,6.033697e-10,2.425441e-04
-2.85000e+00,5.476149e-10,-1.372407e-07,6.047867e-10,2.454732e-04
-2.83500e+00,5.563960e-10,-3.224325e-07,6.059926e-10,2.465943e-04
-2.82000e+00,5.567012e-10,1.115535e-07,6.076180e-10,2.458301e-04
-2.80500e+00,5.666501e-10,-2.442094e-07,6.089770e-10,2.508057e-04
-2.79000e+00,5.618609e-10,4.106024e-07,6.101159e-10,2.508779e-04
-2.77500e+00,5.662698e-10,2.077484e-07,6.117406e-10,2.502307e-04
-2.76000e+00,5.672902e-10,2.674172e-07,6.130559e-10,2.535047e-04
-2.74500e+00,5.673821e-10,6.339639e-10,6.142634e-10,2.533035e-04
-2.73000e+00,5.646882e-10,4.757038e-08,6.157383e-10,2.526306e-04
-2.71500e+00,5.642010e-10,3.997806e-07,6.172339e-10,2.529878e-04
-2.70000e+00,5.664991e-10,3.340498e-07,6.186099e-10,2.571492e-04
-2.68500e+00,5.717955e-10,4.213585e-07,6.198086e-10,2.562815e-04
-2.67000e+00,5.691891e-10,-2.278498e-07,6.210769e-10,2.571673e-04
-2.65500e+00,5.722717e-10,5.941212e-08,6.225123e-10,2.582272e-04
-2.64000e+00,5.701452e-10,-4.437041e-07,6.239948e-10,2.611040e-04
-2.62500e+00,5.707416e-10,4.054257e-10,6.253605e-10,2.610859e-04
-2.61000e+00,5.723658e-10,-5.120491e-07,6.266562e-10,2.590171e-04
-2.59500e+00,5.759704e-10,-3.417683e-08,6.274139e-10,2.645365e-04
-2.58000e+00,5.820482e-10,-8.972220e-08,6.290337e-10,2.659541e-04
-2.56500e+00,5.775753e-10,6.398140e-08,6.304529e-10,2.622894e-04
-2.55000e+00,5.809626e-10,2.515514e-07,6.317855e-10,2.642362e-04
-2.53500e+00,5.868582e-10,2.089518e-07,6.330708e-10,2.690438e-04
-2.52000e+00,5.810818e-10,-2.407674e-07,6.340825e-10,2.675889e-04
-2.50500e+00,5.806793e-10,-1.932701e-07,6.362131e-10,2.693223e-04
-2.49000e+00,5.838876e-10,-1.122612e-08,6.374469e-10,2.713659e-04
-2.47500e+00,5.837473e-10,3.613805e-09,6.382087e-10,2.708562e-04
-2.46000e+00,5.911012e-10,1.488590e-07,6.398986e-10,2.719801e-04
-2.44500e+00,5.881023e-10,-2.854036e-08,6.414854e-10,2.742733e-04
-2.43000e+00,5.946189e-10,-2.077410e-07,6.425933e-10,2.753337e-04
-2.41500e+00,5.961945e-10,1.692997e-07,6.440944e-10,2.766067e-04
-2.40000e+00,5.825688e-10,1.731350e-07,6.453806e-10,2.788265e-04
-2.38500e+00,5.944855e-10,2.901763e-07,6.469300e-10,2.782204e-04
-2.37000e+00,5.959877e-10,-8.185359e-08,6.485800e-10,2.795430e-04
-2.35500e+00,5.933978e-10,4.287604e-07,6.498834e-10,2.811240e-04
-2.34000e+00,6.020479e-10,7.604356e-08,6.512464e-10,2.838762e-04
-2.32500e+00,5.978195e-10,5.122723e-07,6.526004e-10,2.821194e-04
-2.31000e+00,5.979652e-10,-3.555598e-07,6.541576e-10,2.823176e-04
-2.29500e+00,6.040466e-10,-1.497063e-07,6.556755e-10,2.856181e-04
-2.28000e+00,5.978359e-10,-1.259300e-07,6.566889e-10,2.867467e-04
-2.26500e+00,6.048805e-10,1.483933e-07,6.584545e-10,2.868947e-04
-2.25000e+00,6.106826e-10,-2.278721e-07,6.595779e-10,2.913643e-04
-2.23500e+00,6.080868e-10,8.551789e-08,6.613406e-10,2.862842e-04
-2.22000e+00,6.081873e-10,-3.960032e-07,6.631813e-10,2.885903e-04
-2.20500e+00,6.100588e-10,-2.532718e-07,6.645225e-10,2.910110e-04
-2.19000e+00,6.100798e-10,3.183381e-08,6.660345e-10,2.934435e-04
-2.17500e+00,6.200220e-10,-5.691109e-08,6.670828e-10,2.928954e-04
-2.16000e+00,6.109370e-10,-1.876224e-07,6.691802e-10,2.936222e-04
-2.14500e+00,6.214146e-10,-9.025814e-08,6.707448e-10,2.973384e-04
-2.13000e+00,6.150648e-10,4.402890e-07,6.723455e-10,2.979121e-04
-2.11500e+00,6.206812e-10,1.224604e-07,6.736878e-10,3.016759e-04
-2.10000e+00,6.185362e-10,-1.040801e-07,6.752875e-10,3.002119e-04
-2.08500e+00,6.183269e-10,1.986592e-09,6.767275e-10,3.046319e-04
-2.07000e+00,6.200588e-10,3.298935e-07,6.785352e-10,3.063987e-04
-2.05500e+00,6.250221e-10,3.843797e-07,6.796156e-10,3.075564e-04
-2.04000e+00,6.209754e-10,1.511487e-07,6.817200e-10,3.072846e-04
-2.02500e+00,6.224273e-10,3.598042e-07,6.829329e-10,3.073117e-04
-2.01000e+00,6.272088e-10,3.889455e-07,6.849405e-10,3.089570e-04
-1.99500e+00,6.194465e-10,3.641222e-07,6.860252e-10,3.086880e-04
-1.98000e+00,6.283537e-10,2.199854e-07,6.878591e-10,3.112459e-04
-1.96500e+00,6.297149e-10,8.291692e-08,6.896339e-10,3.114709e-04
-1.95000e+00,6.389340e-10,1.741603e-07,6.912877e-10,3.150209e-04
-1.93500e+00,6.335549e-10,3.496467e-07,6.932781e-10,3.172375e-04
-1.92000e+00,6.401068e-10,1.911988e-07,6.942498e-10,3.179371e-04
-1.90500e+00,6.348124e-10,-2.000498e-07,6.961102e-10,3.207357e-04
-1.89000e+00,6.405409e-10,3.481974e-07,6.978150e-10,3.224881e-04
-1.87500e+00,6.403233e-10,5.030392e-07,6.999096e-10,3.236222e-04
-1.86000e+00,6.411690e-10,2.076994e-07,7.014611e-10,3.252608e-04
-1.84500e+00,6.410903e-10,-5.687404e-08,7.032323e-10,3.260479e-04
-1.83000e+00,6.423406e-10,9.684759e-08,7.046945e-10,3.275802e-04
-1.81500e+00,6.460352e-10,-2.110924e-07,7.063929e-10,3.281386e-04
-1.80000e+00,6.479521e-10,-2.094342e-08,7.086938e-10,3.269032e-04
-1.78500e+00,6.446419e-10,-1.315281e-07,7.100299e-10,3.305544e-04
-1.77000e+00,6.560202e-10,-2.023965e-07,7.118919e-10,3.330016e-04
-1.75500e+00,6.513694e-10,2.993008e-07,7.137737e-10,3.352911e-04
-1.74000e+00,6.501489e-10,1.639752e-07,7.159542e-10,3.352752e-04
-1.72500e+00,6.580425e-10,1.298366e-07,7.172855e-10,3.371117e-04
-1.71000e+00,6.561123e-10,1.793732e-07,7.196887e-10,3.389860e-04
-1.69500e+00,6.600944e-10,4.241743e-07,7.211955e-10,3.403876e-04
-1.68000e+00,6.556129e-10,6.276906e-08,7.229060e-10,3.424570e-04
-1.66500e+00,6.586399e-10,2.625231e-07,7.249176e-10,3.427704e-04
-1.65000e+00,6.728962e-10,-7.739938e-08,7.267333e-10,3.458146e-04
-1.63500e+00,6.646024e-10,3.887347e-07,7.285058e-10,3.467665e-04
