Bias,Capacity_1K,Conductivity_1K,Capacity_10K,Conductivity_10K,Capacity_1M,Conductivity_1M
-3.00000e+00,5.752217e-10,-5.441956e-11,5.562648e-10,1.252091e-07,5.996262e-10,2.430188e-04
-2.98500e+00,5.709864e-10,1.495290e-07,5.609643e-10,3.638312e-07,6.045619e-10,2.461959e-04
-2.97000e+00,5.698969e-10,7.186501e-08,5.648933e-10,-7.554142e-08,6.076746e-10,2.497725e-04
-2.95500e+00,5.970785e-10,-9.698873e-08,5.679453e-10,1.492740e-07,6.101918e-10,2.507491e-04
-2.94000e+00,5.403308e-10,8.900406e-08,5.646787e-10,-8.188006e-08,6.120301e-10,2.522705e-04
-2.92500e+00,5.932059e-10,9.115850e-08,5.761484e-10,4.518567e-07,6.142299e-10,2.551865e-04
-2.91000e+00,5.925827e-10,1.648678e-07,5.710201e-10,5.726969e-08,6.163809e-10,2.571043e-04
-2.89500e+00,5.609324e-10,1.867389e-07,5.695072e-10,6.029252e-07,6.181672e-10,2.566389e-04
-2.88000e+00,5.668030e-10,1.799803e-07,5.776328e-10,-3.918398e-08,6.196692e-10,2.549908e-04
-2.86500e+00,5.427936e-10,-2.072655e-07,5.734754e-10,1.106141e-08,6.214992e-10,2.586873e-04
-2.85000e+00,5.868107e-10,2.127772e-07,5.695651e-10,-1.868720e-07,6.230223e-10,2.599185e-04
-2.83500e+00,5.990995e-10,5.505069e-08,5.799322e-10,1.998353e-07,6.242869e-10,2.625715e-04
-2.82000e+00,5.952139e-10,-6.757716e-08,5.876347e-10,1.735711e-07,6.262980e-10,2.624471e-04
-2.80500e+00,5.600900e-10,-9.867227e-08,5.913441e-10,4.874415e-07,6.275757e-10,2.653367e-04
-2.79000e+00,5.778199e-10,6.080818e-08,5.791855e-10,-8.316250e-08,6.293522e-10,2.659381e-04
-2.77500e+00,6.313621e-10,2.957809e-07,5.868763e-10,-1.205986e-07,6.307720e-10,2.680203e-04
-2.76000e+00,6.146653e-10,-1.608948e-08,5.909615e-10,4.296644e-07,6.324261e-10,2.682199e-04
-2.74500e+00,5.681978e-10,-1.455762e-07,5.862326e-10,3.352087e-09,6.340059e-10,2.705464e-04
-2.73000e+00,5.945831e-10,2.157579e-07,5.848220e-10,3.124152e-07,6.353165e-10,2.714607e-04
