"Bias, V",Current_300K,Current_250K,Current_200K,Current_150K,Current_100K,Current_50K
"-3,00E+00","-2,09E-07","-5,41E-09","-7,14E-10","-7,40E-11","-1,70E-11","-6,00E-12"
"-2,95E+00","-1,84E-07","-4,67E-09","-5,87E-10","-5,80E-11","-2,20E-11","-2,00E-11"
"-2,90E+00","-1,63E-07","-4,46E-09","-4,85E-10","-7,90E-11","-1,80E-11","0,00E+00"
"-2,85E+00","-1,55E-07","-4,35E-09","-5,13E-10","-5,70E-11","-2,70E-11","1,00E-12"
"-2,80E+00","-1,48E-07","-4,13E-09","-4,83E-10","-5,00E-11","-2,60E-11","-1,00E-12"
"-2,75E+00","-1,41E-07","-3,95E-09","-4,57E-10","-3,00E-11","-1,00E-11","7,00E-12"
"-2,70E+00","-1,35E-07","-3,68E-09","-4,46E-10","-2,90E-11","8,00E-12","-2,00E-12"
"-2,65E+00","-1,29E-07","-3,64E-09","-3,97E-10","-3,50E-11","-1,60E-11","-3,20E-11"
"-2,60E+00","-1,23E-07","-3,52E-09","-3,70E-10","-1,70E-11","-1,20E-11","-2,10E-11"
"-2,55E+00","-1,19E-07","-3,38E-09","-3,53E-10","-4,50E-11","-5,20E-11","-1,10E-11"
"-2,50E+00","-1,14E-07","-3,26E-09","-3,42E-10","-2,70E-11","-3,00E-11","2,80E-11"
"-2,45E+00","-1,09E-07","-3,08E-09","-3,20E-10","-2,70E-11","-1,70E-11","7,00E-12"
"-2,40E+00","-1,04E-07","-2,91E-09","-3,10E-10","-1,30E-11","2,90E-11","5,00E-12"
"-2,35E+00","-1,01E-07","-2,85E-09","-2,89E-10","-1,70E-11","-5,00E-12","-2,90E-11"
"-2,30E+00","-9,62E-08","-2,73E-09","-2,52E-10","-1,10E-11","-8,00E-12","-2,40E-11"
"-2,25E+00","-9,20E-08","-2,69E-09","-2,42E-10","-4,80E-11","-3,20E-11","1,00E-12"
"-2,20E+00","-8,88E-08","-2,52E-09","-2,28E-10","-2,00E-11","-2,40E-11","7,40E-11"
