Bias,Data Trace Real_A,Data Trace Real_B
-1.00000e+01,4.228496e-11,3.846341e-07
-9.96200e+00,4.832123e-11,2.087777e-07
-9.92500e+00,4.684128e-11,3.627882e-08
-9.88700e+00,4.540939e-11,-1.779967e-07
-9.85000e+00,4.982374e-11,5.840247e-08
-9.81200e+00,4.390539e-11,-3.447692e-07
-9.77500e+00,4.670390e-11,-2.237037e-07
-9.73700e+00,4.454937e-11,2.478139e-07
-9.70000e+00,5.355529e-11,2.591889e-08
-9.66200e+00,4.249729e-11,2.839507e-07
-9.62500e+00,5.966386e-11,3.834717e-09
-9.58700e+00,4.639356e-11,-1.054311e-07
-9.55000e+00,5.318754e-11,2.592563e-07
-9.51200e+00,4.507477e-11,2.473539e-07
-9.47500e+00,4.723348e-11,2.639221e-08
-9.43700e+00,5.504825e-11,5.636543e-08
-9.40000e+00,4.810333e-11,-2.763943e-07
-9.36200e+00,5.078616e-11,-9.079778e-08
-9.32500e+00,4.393093e-11,-5.772137e-08
-9.28700e+00,4.382704e-11,-3.129413e-07
-9.25000e+00,4.314462e-11,3.407936e-07
-9.21200e+00,5.259260e-11,2.099923e-07
-9.17500e+00,5.002637e-11,1.969553e-07
-9.13700e+00,4.667553e-11,2.142967e-07
-9.10000e+00,4.546134e-11,8.335978e-07
-9.06200e+00,4.932361e-11,-5.396270e-08
-9.02500e+00,4.560500e-11,4.840525e-07
-8.98700e+00,5.315419e-11,-2.655824e-07
-8.95000e+00,4.913371e-11,1.971565e-08
-8.91200e+00,4.299618e-11,-9.777090e-08
-8.87500e+00,4.392312e-11,-1.723086e-07
-8.83700e+00,5.078177e-11,-2.442659e-07
-8.80000e+00,4.573161e-11,2.804454e-07
-8.76200e+00,5.053001e-11,2.100213e-07
-8.72500e+00,5.695802e-11,9.520326e-08
-8.68700e+00,4.591756e-11,-6.039604e-07
-8.65000e+00,5.097471e-11,-8.981321e-08
-8.61200e+00,4.640032e-11,-1.774280e-07
-8.57500e+00,5.011892e-11,1.922796e-07
-8.53700e+00,5.502220e-11,1.462339e-07
-8.50000e+00,5.495218e-11,3.065683e-07
-8.46200e+00,5.219357e-11,4.216924e-07
-8.42500e+00,5.530495e-11,4.459824e-08
-8.38700e+00,5.202096e-11,1.090281e-07
-8.35000e+00,6.328108e-11,-2.314157e-07
-8.31200e+00,4.861823e-11,2.281421e-07
-8.27500e+00,5.443763e-11,-2.838833e-07
-8.23700e+00,5.050061e-11,-9.152740e-08
-8.20000e+00,5.089706e-11,3.488047e-07
-8.16200e+00,5.560029e-11,-2.311677e-07
-8.12500e+00,5.115471e-11,-2.611978e-09
-8.08700e+00,5.728171e-11,-2.098855e-07
-8.05000e+00,5.471212e-11,-1.547705e-08
-8.01200e+00,5.254562e-11,1.340084e-07
-7.97500e+00,4.936126e-11,2.710984e-07
-7.93700e+00,5.479878e-11,-5.405392e-08
-7.90000e+00,4.686434e-11,2.288964e-07
-7.86200e+00,5.408296e-11,-2.073402e-07
-7.82500e+00,4.698318e-11,-3.517688e-07
-7.78700e+00,4.915301e-11,1.434227e-07
-7.75000e+00,5.669544e-11,-2.192384e-07
-7.71200e+00,4.338346e-11,1.329202e-07
-7.67500e+00,5.337618e-11,-8.174887e-09
-7.63700e+00,5.164093e-11,-4.545263e-08
-7.60000e+00,5.479596e-11,-3.230157e-07
-7.56200e+00,5.064058e-11,-9.715298e-09
-7.52500e+00,5.330026e-11,4.398192e-07
-7.48700e+00,5.292262e-11,3.474005e-07
-7.45000e+00,4.899454e-11,-4.393730e-07
-7.41200e+00,5.426303e-11,3.160266e-07
-7.37500e+00,4.564043e-11,1.081279e-07
-7.33700e+00,4.981218e-11,2.357251e-07
-7.30000e+00,5.242046e-11,4.000233e-08
-7.26200e+00,4.622401e-11,-2.478228e-09
-7.22500e+00,5.563102e-11,-3.054417e-07
-7.18700e+00,6.044009e-11,-2.914283e-08
-7.15000e+00,5.112724e-11,4.128628e-07
-7.11200e+00,5.344171e-11,-1.183432e-07
-7.07500e+00,5.582908e-11,6.171891e-08
-7.03700e+00,5.497522e-11,7.821630e-08
-7.00000e+00,5.437662e-11,2.506133e-07
-6.96200e+00,4.817361e-11,1.136322e-07
-6.92500e+00,5.140282e-11,-8.146611e-08
-6.88700e+00,5.750197e-11,1.646368e-07
-6.85000e+00,5.322161e-11,6.826876e-07
-6.81200e+00,5.230933e-11,-3.230356e-07
-6.77500e+00,5.273430e-11,-2.142248e-08
-6.73700e+00,5.139321e-11,7.452461e-08
-6.70000e+00,5.669426e-11,2.169433e-07
-6.66200e+00,5.029496e-11,1.487703e-07
-6.62500e+00,5.403182e-11,7.267217e-08
-6.58700e+00,4.792433e-11,3.601465e-07
-6.55000e+00,5.339653e-11,-1.265874e-07
-6.51200e+00,5.933716e-11,2.479940e-08
-6.47500e+00,5.062358e-11,-1.270861e-07
-6.43700e+00,5.391380e-11,3.174949e-07
-6.40000e+00,5.792385e-11,-5.498476e-08
-6.36200e+00,5.480297e-11,-6.028850e-08
-6.32500e+00,5.653891e-11,-7.998695e-08
-6.28700e+00,5.776362e-11,4.531174e-07
-6.25000e+00,5.827234e-11,2.749574e-07
-6.21200e+00,5.503560e-11,1.577156e-07
-6.17500e+00,4.837613e-11,2.315940e-07
-6.13700e+00,5.869524e-11,5.844907e-08
-6.10000e+00,5.690785e-11,1.148045e-07
-6.06200e+00,5.033163e-11,-6.072854e-08
-6.02500e+00,5.062021e-11,2.849997e-07
-5.98700e+00,6.284908e-11,-1.807647e-07
-5.95000e+00,5.974439e-11,5.530595e-07
-5.91200e+00,5.669696e-11,1.450614e-07
-5.87500e+00,5.509831e-11,6.199449e-08
-5.83700e+00,6.015286e-11,-1.544695e-08
-5.80000e+00,5.633836e-11,1.055769e-07
-5.76200e+00,5.969972e-11,1.731450e-07
-5.72500e+00,5.443595e-11,5.269826e-08
-5.68700e+00,5.661257e-11,2.372895e-07
-5.65000e+00,6.072069e-11,-5.271189e-08
-5.61200e+00,5.824628e-11,-3.153060e-07
-5.57500e+00,6.629574e-11,3.903405e-07
-5.53700e+00,5.970507e-11,2.006224e-07
-5.50000e+00,6.109283e-11,-8.502307e-08
-5.46200e+00,5.686164e-11,-2.227249e-07
-5.42500e+00,6.020771e-11,4.990163e-07
-5.38700e+00,5.887136e-11,-2.987297e-08
-5.35000e+00,6.669906e-11,-3.085668e-07
-5.31200e+00,5.967996e-11,2.198594e-07
-5.27500e+00,6.243224e-11,-1.621477e-08
-5.23700e+00,5.641664e-11,1.917868e-07
-5.20000e+00,6.334023e-11,1.871221e-07
-5.16200e+00,6.377315e-11,2.242641e-07
-5.12500e+00,6.472962e-11,1.529931e-07
-5.08700e+00,6.066951e-11,3.004085e-07
-5.05000e+00,5.733935e-11,4.516978e-07
-5.01200e+00,5.886467e-11,4.274449e-08
-4.97500e+00,5.997572e-11,-4.226939e-07
-4.93700e+00,6.478778e-11,-1.210655e-07
-4.90000e+00,6.213530e-11,9.658729e-09
-4.86200e+00,6.615516e-11,2.840609e-08
-4.82500e+00,6.382334e-11,-4.387835e-07
-4.78700e+00,5.377343e-11,4.141480e-07
-4.75000e+00,6.462143e-11,2.815153e-07
-4.71200e+00,6.449657e-11,2.893635e-07
-4.67500e+00,6.514465e-11,3.603769e-07
-4.63700e+00,6.364024e-11,5.932549e-08
-4.60000e+00,6.161051e-11,-3.788681e-08
-4.56200e+00,5.948660e-11,2.142256e-07
-4.52500e+00,6.646600e-11,6.790254e-08
-4.48700e+00,6.505006e-11,3.160171e-07
-4.45000e+00,6.238549e-11,3.196739e-08
-4.41200e+00,6.764366e-11,6.054976e-07
-4.37500e+00,6.512737e-11,-8.337874e-08
-4.33700e+00,5.932172e-11,1.346112e-07
-4.30000e+00,6.487982e-11,2.259847e-07
-4.26200e+00,7.092358e-11,-1.157127e-07
-4.22500e+00,6.433924e-11,1.496179e-07
-4.18700e+00,5.921056e-11,-3.578543e-08
-4.15000e+00,6.396098e-11,1.824025e-07
-4.11200e+00,6.090699e-11,2.099809e-07
-4.07500e+00,5.988137e-11,2.369410e-07
-4.03700e+00,6.247140e-11,-1.221070e-07
-4.00000e+00,6.452132e-11,1.092167e-07
-3.96200e+00,7.056750e-11,1.692996e-07
-3.92500e+00,6.641536e-11,-4.492634e-07
-3.88700e+00,6.688606e-11,1.511428e-07
-3.85000e+00,6.554462e-11,-2.512359e-07
-3.81200e+00,7.234555e-11,5.989696e-07
-3.77500e+00,6.505334e-11,2.924641e-07
-3.73700e+00,6.788643e-11,1.289052e-07
-3.70000e+00,6.976225e-11,-1.128065e-07
-3.66200e+00,7.105936e-11,5.378764e-08
-3.62500e+00,6.690339e-11,-2.694588e-07
-3.58700e+00,7.189203e-11,-1.020846e-07
-3.55000e+00,7.370932e-11,2.698220e-07
-3.51200e+00,6.818435e-11,2.065736e-07
-3.47500e+00,6.852666e-11,2.492818e-07
-3.43700e+00,7.230567e-11,3.777244e-07
-3.40000e+00,6.891862e-11,2.417671e-07
-3.36200e+00,7.298587e-11,-2.433093e-09
-3.32500e+00,7.332085e-11,3.099539e-07
