Bias,Data Trace Real_A,Data Trace Real_B
-1.00000e+01,4.128402e-11,7.045885e-05
-9.96200e+00,4.168004e-11,7.116923e-05
-9.92500e+00,4.191826e-11,7.251221e-05
-9.88700e+00,4.205388e-11,7.276804e-05
-9.85000e+00,4.220765e-11,7.319168e-05
-9.81200e+00,4.218823e-11,7.372472e-05
-9.77500e+00,4.234418e-11,7.383005e-05
-9.73700e+00,4.232935e-11,7.410483e-05
-9.70000e+00,4.242872e-11,7.432017e-05
-9.66200e+00,4.254398e-11,7.436046e-05
-9.62500e+00,4.257080e-11,7.506458e-05
-9.58700e+00,4.259970e-11,7.516896e-05
-9.55000e+00,4.272723e-11,7.519600e-05
-9.51200e+00,4.276623e-11,7.565208e-05
-9.47500e+00,4.282496e-11,7.593680e-05
-9.43700e+00,4.285793e-11,7.655818e-05
-9.40000e+00,4.296774e-11,7.676960e-05
-9.36200e+00,4.301172e-11,7.636400e-05
-9.32500e+00,4.307113e-11,7.669011e-05
-9.28700e+00,4.318501e-11,7.716295e-05
-9.25000e+00,4.319110e-11,7.733537e-05
-9.21200e+00,4.328146e-11,7.758783e-05
-9.17500e+00,4.334720e-11,7.785992e-05
-9.13700e+00,4.336281e-11,7.786250e-05
-9.10000e+00,4.340304e-11,7.872088e-05
-9.06200e+00,4.361991e-11,7.866035e-05
-9.02500e+00,4.359408e-11,7.912054e-05
-8.98700e+00,4.367113e-11,7.952788e-05
-8.95000e+00,4.367839e-11,7.992931e-05
-8.91200e+00,4.376358e-11,7.995494e-05
-8.87500e+00,4.385937e-11,8.038957e-05
-8.83700e+00,4.395251e-11,8.071436e-05
-8.80000e+00,4.403296e-11,8.112944e-05
-8.76200e+00,4.407829e-11,8.100174e-05
-8.72500e+00,4.419647e-11,8.161490e-05
-8.68700e+00,4.426204e-11,8.171947e-05
-8.65000e+00,4.434130e-11,8.201628e-05
-8.61200e+00,4.442119e-11,8.238039e-05
-8.57500e+00,4.447000e-11,8.269308e-05
-8.53700e+00,4.450883e-11,8.334368e-05
-8.50000e+00,4.456040e-11,8.354914e-05
-8.46200e+00,4.469229e-11,8.332280e-05
-8.42500e+00,4.469452e-11,8.381777e-05
-8.38700e+00,4.484028e-11,8.349116e-05
-8.35000e+00,4.488884e-11,8.435216e-05
-8.31200e+00,4.493421e-11,8.466739e-05
-8.27500e+00,4.496933e-11,8.506369e-05
-8.23700e+00,4.516360e-11,8.540611e-05
-8.20000e+00,4.518431e-11,8.550255e-05
-8.16200e+00,4.526641e-11,8.610522e-05
-8.12500e+00,4.532122e-11,8.586113e-05
-8.08700e+00,4.533367e-11,8.640232e-05
-8.05000e+00,4.543682e-11,8.727142e-05
-8.01200e+00,4.559140e-11,8.721908e-05
-7.97500e+00,4.557053e-11,8.789699e-05
-7.93700e+00,4.566172e-11,8.837991e-05
-7.90000e+00,4.582109e-11,8.837260e-05
-7.86200e+00,4.589973e-11,8.826961e-05
-7.82500e+00,4.589659e-11,8.885560e-05
-7.78700e+00,4.596602e-11,8.925802e-05
-7.75000e+00,4.609246e-11,8.952017e-05
-7.71200e+00,4.608867e-11,8.996447e-05
-7.67500e+00,4.626798e-11,9.056408e-05
-7.63700e+00,4.633996e-11,9.047092e-05
-7.60000e+00,4.631025e-11,9.123288e-05
-7.56200e+00,4.644826e-11,9.137634e-05
-7.52500e+00,4.654502e-11,9.223638e-05
-7.48700e+00,4.659343e-11,9.243424e-05
-7.45000e+00,4.679108e-11,9.277876e-05
-7.41200e+00,4.671260e-11,9.329730e-05
-7.37500e+00,4.683319e-11,9.304034e-05
