Bias,Capacity_1K,Conductivity_1K,Capacity_10K,Conductivity_10K,Capacity_100K,Conductivity_100K,Capacity_1M,Conductivity_1M
-3.00000e+00,4.191929e-10,1.467710e-07,4.188893e-10,-1.105584e-07,4.219365e-10,1.415935e-06,4.726066e-10,8.367941e-05
-2.98500e+00,4.657342e-10,-2.670079e-07,4.189276e-10,-2.181649e-08,4.230720e-10,1.801254e-06,4.732205e-10,7.832750e-05
-2.97000e+00,4.113193e-10,-2.335666e-07,4.173820e-10,-1.000686e-07,4.233611e-10,1.265223e-06,4.747584e-10,8.362126e-05
-2.95500e+00,3.924844e-10,4.401119e-08,4.283675e-10,3.510011e-07,4.250917e-10,9.297963e-07,4.751181e-10,7.837483e-05
-2.94000e+00,4.523853e-10,1.899892e-07,4.334614e-10,-2.528281e-07,4.252244e-10,8.983939e-07,4.766716e-10,8.592476e-05
-2.92500e+00,4.557751e-10,4.476274e-07,4.244267e-10,2.524585e-07,4.263016e-10,1.041488e-06,4.784554e-10,8.157385e-05
-2.91000e+00,4.256403e-10,-4.334684e-08,4.242768e-10,6.406317e-08,4.270061e-10,1.609538e-06,4.777488e-10,7.986341e-05
-2.89500e+00,4.157946e-10,1.368017e-07,4.345788e-10,-3.150895e-08,4.279769e-10,1.031753e-06,4.799143e-10,8.039892e-05
-2.88000e+00,4.396247e-10,9.466041e-08,4.289944e-10,-2.796048e-07,4.292578e-10,1.368967e-06,4.801251e-10,8.467344e-05
-2.86500e+00,4.078562e-10,9.331103e-08,4.248874e-10,1.983656e-07,4.293832e-10,1.167134e-06,4.815824e-10,9.342426e-05
-2.85000e+00,4.368501e-10,-6.409185e-08,4.335066e-10,-2.176911e-08,4.292133e-10,7.858649e-07,4.818173e-10,8.385244e-05
-2.83500e+00,4.166122e-10,-5.638675e-08,4.330164e-10,-2.226636e-07,4.312037e-10,1.148483e-06,4.827321e-10,8.657968e-05
-2.82000e+00,3.984846e-10,2.127724e-07,4.299203e-10,-2.385981e-07,4.321306e-10,1.160833e-06,4.838929e-10,8.116703e-05
-2.80500e+00,4.420030e-10,-6.734904e-08,4.322531e-10,-2.270481e-07,4.324121e-10,1.699686e-06,4.848230e-10,8.195692e-05
-2.79000e+00,4.594737e-10,1.055307e-07,4.386359e-10,9.591356e-08,4.335615e-10,2.526649e-07,4.857691e-10,8.482430e-05
-2.77500e+00,4.673981e-10,2.404471e-09,4.385985e-10,3.221988e-08,4.343405e-10,1.618421e-06,4.868229e-10,8.592197e-05
-2.76000e+00,4.508191e-10,-5.798214e-08,4.308966e-10,-3.441047e-08,4.347013e-10,1.807803e-06,4.872942e-10,9.092203e-05
-2.74500e+00,4.138590e-10,-1.996446e-07,4.371349e-10,-2.955823e-07,4.350533e-10,1.361125e-06,4.885364e-10,8.464705e-05
-2.73000e+00,4.225356e-10,-7.377324e-08,4.386396e-10,6.161404e-07,4.363349e-10,1.185456e-06,4.893684e-10,8.839639e-05
-2.71500e+00,4.700015e-10,2.533521e-07,4.460347e-10,-2.734922e-07,4.362029e-10,1.346567e-06,4.909607e-10,9.050148e-05
-2.70000e+00,4.476039e-10,-1.087547e-07,4.416083e-10,4.021807e-08,4.374025e-10,1.005204e-06,4.919534e-10,8.715242e-05
-2.68500e+00,4.273486e-10,8.712783e-09,4.399851e-10,-3.580617e-07,4.388795e-10,9.335355e-07,4.922817e-10,8.276956e-05
-2.67000e+00,4.389779e-10,1.090277e-07,4.441495e-10,1.888883e-07,4.392507e-10,1.615398e-06,4.933502e-10,8.463606e-05
-2.65500e+00,4.495917e-10,6.158607e-09,4.424435e-10,1.776223e-07,4.387489e-10,1.385205e-06,4.941033e-10,8.539047e-05
-2.64000e+00,4.358350e-10,-8.305355e-08,4.445049e-10,2.540137e-07,4.410335e-10,1.538293e-06,4.948573e-10,8.589562e-05
-2.62500e+00,4.332474e-10,-1.834076e-07,4.443321e-10,1.540090e-07,4.408565e-10,1.492543e-06,4.962273e-10,8.861584e-05
-2.61000e+00,4.380596e-10,1.353339e-07,4.431117e-10,-4.624290e-08,4.422609e-10,1.340345e-06,4.977435e-10,8.965702e-05
-2.59500e+00,4.147478e-10,-1.035799e-07,4.507610e-10,-2.160332e-07,4.417864e-10,1.645931e-06,4.982800e-10,8.714266e-05
-2.58000e+00,3.914414e-10,-8.612628e-08,4.492674e-10,-3.084133e-09,4.434823e-10,1.392249e-06,4.994549e-10,8.768132e-05
-2.56500e+00,5.022341e-10,-1.341793e-07,4.371907e-10,2.894531e-07,4.432867e-10,1.456340e-06,4.992944e-10,9.335292e-05
-2.55000e+00,4.378950e-10,-1.963661e-07,4.519960e-10,2.589144e-07,4.442801e-10,1.167938e-06,5.007312e-10,9.237815e-05
-2.53500e+00,4.697854e-10,7.144462e-08,4.469531e-10,-4.383559e-08,4.454788e-10,1.207227e-06,5.010672e-10,9.032130e-05
-2.52000e+00,4.640240e-10,-2.816978e-07,4.497065e-10,2.677384e-07,4.461702e-10,1.513532e-06,5.022388e-10,8.381362e-05
-2.50500e+00,4.615974e-10,2.842595e-07,4.433344e-10,3.093824e-07,4.479889e-10,1.108079e-06,5.038782e-10,8.946265e-05
-2.49000e+00,4.375240e-10,2.380616e-07,4.526224e-10,-1.424265e-07,4.478080e-10,2.294843e-06,5.046019e-10,8.900381e-05
-2.47500e+00,4.308320e-10,5.977709e-08,4.563284e-10,2.196784e-07,4.477148e-10,1.625152e-06,5.060772e-10,9.485055e-05
-2.46000e+00,4.214387e-10,3.223621e-09,4.598592e-10,-2.062049e-07,4.498073e-10,1.875805e-06,5.062333e-10,9.304547e-05
-2.44500e+00,4.679135e-10,-2.323915e-08,4.567806e-10,-4.008066e-08,4.509451e-10,1.020817e-06,5.067415e-10,9.258784e-05
-2.43000e+00,4.671064e-10,3.934695e-08,4.517543e-10,-1.992089e-07,4.509060e-10,1.437372e-06,5.081033e-10,9.117863e-05
-2.41500e+00,4.744933e-10,2.190475e-07,4.533292e-10,3.201601e-07,4.517191e-10,9.889054e-07,5.104172e-10,9.591539e-05
-2.40000e+00,5.217436e-10,-2.756319e-08,4.540548e-10,1.468018e-07,4.524313e-10,1.529925e-06,5.098765e-10,9.317723e-05
-2.38500e+00,4.535599e-10,-3.224197e-07,4.556588e-10,-6.065429e-10,4.536123e-10,8.780586e-07,5.110619e-10,9.499177e-05
-2.37000e+00,4.413647e-10,5.085893e-08,4.574190e-10,-3.817351e-08,4.531617e-10,1.129750e-06,5.120663e-10,9.302411e-05
-2.35500e+00,5.090986e-10,1.769787e-07,4.561626e-10,-1.802716e-07,4.559822e-10,6.990670e-07,5.129273e-10,9.371384e-05
-2.34000e+00,4.612582e-10,1.265204e-07,4.573597e-10,-1.607261e-07,4.562133e-10,1.688427e-06,5.137675e-10,9.647483e-05
-2.32500e+00,4.786060e-10,-1.793012e-07,4.602446e-10,1.992247e-07,4.565681e-10,1.606804e-06,5.161879e-10,1.018636e-04
-2.31000e+00,4.750161e-10,6.025769e-08,4.535378e-10,-1.425223e-07,4.580129e-10,1.357499e-06,5.167010e-10,9.174873e-05
-2.29500e+00,4.508362e-10,2.842242e-07,4.545188e-10,8.481402e-07,4.585760e-10,1.324379e-06,5.175053e-10,9.654851e-05
-2.28000e+00,4.547759e-10,7.336841e-08,4.566683e-10,1.522690e-07,4.590135e-10,8.587225e-07,5.182861e-10,9.583670e-05
-2.26500e+00,4.325130e-10,1.697472e-07,4.597190e-10,4.841025e-07,4.598562e-10,1.643809e-06,5.198096e-10,9.308285e-05
-2.25000e+00,4.512318e-10,4.843316e-08,4.624071e-10,1.876416e-07,4.606005e-10,1.015450e-06,5.203237e-10,9.752565e-05
-2.23500e+00,4.064980e-10,-2.417403e-07,4.669017e-10,-3.513154e-07,4.624438e-10,1.715840e-06,5.208064e-10,9.405016e-05
-2.22000e+00,4.660362e-10,8.771543e-08,4.649796e-10,-2.095861e-07,4.624830e-10,4.092751e-07,5.228524e-10,9.957486e-05
-2.20500e+00,5.064787e-10,4.678620e-08,4.651829e-10,1.413505e-07,4.638537e-10,1.557003e-06,5.234413e-10,1.021204e-04
-2.19000e+00,4.597488e-10,-2.027986e-08,4.645137e-10,7.633986e-07,4.642560e-10,2.125649e-06,5.242176e-10,1.023870e-04
-2.17500e+00,4.865119e-10,-1.767744e-09,4.691918e-10,1.012514e-07,4.648595e-10,2.615155e-06,5.258864e-10,1.020415e-04
-2.16000e+00,4.840864e-10,-6.850367e-08,4.687873e-10,5.073064e-07,4.669391e-10,1.815690e-06,5.271700e-10,1.021686e-04
-2.14500e+00,4.758053e-10,2.508163e-08,4.728732e-10,3.918647e-09,4.668668e-10,1.394893e-06,5.272425e-10,9.677944e-05
-2.13000e+00,4.613157e-10,5.614034e-09,4.736762e-10,3.316344e-08,4.684749e-10,1.504911e-06,5.288965e-10,9.954804e-05
-2.11500e+00,5.027724e-10,-1.165582e-07,4.720394e-10,4.860423e-07,4.679899e-10,1.532960e-06,5.298281e-10,1.055485e-04
-2.10000e+00,4.773336e-10,-1.946968e-07,4.668181e-10,9.159899e-09,4.695094e-10,1.345886e-06,5.308445e-10,1.033565e-04
-2.08500e+00,4.400870e-10,-1.555989e-07,4.713147e-10,1.481292e-07,4.710453e-10,1.887793e-06,5.324685e-10,1.017033e-04
-2.07000e+00,4.651423e-10,3.373819e-07,4.755477e-10,-3.088046e-07,4.707482e-10,1.561583e-06,5.322500e-10,1.029570e-04
-2.05500e+00,4.711185e-10,-6.447871e-08,4.789040e-10,-6.934508e-08,4.725794e-10,1.626727e-06,5.348657e-10,1.050706e-04
-2.04000e+00,4.664078e-10,-1.578508e-07,4.726188e-10,1.585763e-07,4.730474e-10,1.325051e-06,5.352967e-10,1.045786e-04
-2.02500e+00,4.845756e-10,-1.526053e-07,4.772003e-10,6.568165e-08,4.744312e-10,1.392963e-06,5.374440e-10,1.073413e-04
-2.01000e+00,4.775115e-10,-1.365244e-07,4.789196e-10,1.974174e-07,4.751489e-10,1.766040e-06,5.372940e-10,1.117605e-04
-1.99500e+00,4.839507e-10,-1.376372e-07,4.749236e-10,3.244838e-07,4.760249e-10,1.883362e-06,5.390445e-10,1.075609e-04
-1.98000e+00,4.375211e-10,-2.555677e-08,4.857815e-10,-1.701999e-07,4.766963e-10,2.039601e-06,5.409036e-10,1.106217e-04
-1.96500e+00,4.885456e-10,9.550280e-08,4.778208e-10,-2.415820e-07,4.775292e-10,2.034570e-06,5.419376e-10,1.043957e-04
-1.95000e+00,5.101326e-10,-1.660498e-08,4.828523e-10,2.867965e-08,4.797340e-10,8.445796e-07,5.420334e-10,1.045780e-04
-1.93500e+00,4.759315e-10,1.245139e-07,4.850035e-10,1.551863e-07,4.793990e-10,2.092891e-06,5.431154e-10,1.061543e-04
-1.92000e+00,5.230396e-10,1.881972e-07,4.835110e-10,1.577907e-07,4.803973e-10,1.411806e-06,5.446827e-10,1.110121e-04
-1.90500e+00,5.053578e-10,3.732268e-07,4.844145e-10,9.719244e-08,4.819870e-10,1.325739e-06,5.456244e-10,1.073745e-04
-1.89000e+00,4.949535e-10,-8.172066e-11,4.908951e-10,-1.500623e-07,4.832765e-10,1.755037e-06,5.473674e-10,1.134245e-04
-1.87500e+00,5.303467e-10,-2.239831e-07,4.824966e-10,-1.047487e-08,4.829219e-10,1.355595e-06,5.481395e-10,1.076310e-04
-1.86000e+00,4.666841e-10,-2.148926e-07,4.859411e-10,2.537492e-07,4.835978e-10,1.742990e-06,5.498146e-10,1.055500e-04
-1.84500e+00,4.897798e-10,8.003588e-08,4.959853e-10,2.940072e-08,4.860427e-10,1.540537e-06,5.512935e-10,1.124173e-04
-1.83000e+00,5.084795e-10,-2.065712e-07,4.907170e-10,1.532600e-07,4.867354e-10,1.924356e-06,5.533469e-10,1.126310e-04
-1.81500e+00,4.626800e-10,-1.783543e-07,4.927153e-10,-1.510601e-07,4.871390e-10,1.806183e-06,5.530051e-10,1.129058e-04
