Bias,Capacity_1K,Conductivity_1K,Capacity_10K,Conductivity_10K,Capacity_100K,Conductivity_100K,Capacity_1M,Conductivity_1M
-3.00000e+00,4.462511e-10,5.684704e-07,4.467549e-10,4.981131e-07,4.266187e-10,4.413000e-05,1.148443e-10,1.233746e-03
-2.98000e+00,4.455915e-10,4.965754e-07,4.432116e-10,5.865099e-07,4.280049e-10,4.466458e-05,1.149733e-10,1.236147e-03
-2.96000e+00,4.422114e-10,4.051597e-07,4.418148e-10,-8.168884e-08,4.282868e-10,4.456384e-05,1.154048e-10,1.238994e-03
-2.94000e+00,4.407979e-10,3.846635e-07,4.406920e-10,3.201090e-07,4.299511e-10,4.438217e-05,1.152896e-10,1.239408e-03
-2.92000e+00,4.419558e-10,7.195163e-07,4.410171e-10,6.512981e-07,4.303662e-10,4.478086e-05,1.154031e-10,1.240802e-03
-2.90000e+00,4.446150e-10,6.703378e-07,4.400688e-10,3.810628e-07,4.315049e-10,4.452587e-05,1.152857e-10,1.242681e-03
-2.88000e+00,4.446242e-10,5.784404e-07,4.513905e-10,5.331879e-07,4.315885e-10,4.446650e-05,1.156173e-10,1.245472e-03
-2.86000e+00,4.478672e-10,5.331325e-07,4.456895e-10,3.756904e-07,4.332533e-10,4.496226e-05,1.152863e-10,1.246361e-03
-2.84000e+00,4.457814e-10,4.738172e-07,4.439341e-10,6.617599e-07,4.333628e-10,4.496264e-05,1.157359e-10,1.249474e-03
-2.82000e+00,4.456817e-10,3.071162e-07,4.534421e-10,4.447485e-07,4.337621e-10,4.532738e-05,1.155774e-10,1.250554e-03
-2.80000e+00,4.508331e-10,7.384182e-07,4.489452e-10,4.324888e-07,4.351017e-10,4.547782e-05,1.159482e-10,1.252467e-03
-2.78000e+00,4.515149e-10,5.551118e-07,4.507112e-10,5.214925e-07,4.360076e-10,4.570675e-05,1.154606e-10,1.252265e-03
-2.76000e+00,4.517836e-10,2.909107e-07,4.455023e-10,6.452686e-08,4.361697e-10,4.573273e-05,1.157724e-10,1.256009e-03
-2.74000e+00,4.500169e-10,4.813661e-07,4.487936e-10,9.029717e-07,4.376081e-10,4.584781e-05,1.157227e-10,1.256812e-03
-2.72000e+00,4.491904e-10,1.279705e-07,4.475944e-10,5.815618e-07,4.378291e-10,4.631776e-05,1.157712e-10,1.258907e-03
-2.70000e+00,4.522178e-10,5.588801e-07,4.567317e-10,6.010578e-07,4.380960e-10,4.627724e-05,1.154604e-10,1.258851e-03
-2.68000e+00,4.494285e-10,2.681648e-07,4.586641e-10,9.655524e-07,4.388138e-10,4.621740e-05,1.156187e-10,1.260952e-03
