"Bias, V",Current_300K,Current_250K_1,Current_250K_2,Current_200K_1,Current_200K_2,Current_150K_1,Current_150K_2,Current_100K,Current_50K,Current_100K_h,Current_200K_h
"-3,00E+00","-4,61E-07","-3,02E-08","-2,98E-08","-9,38E-09","-1,24E-08","-6,17E-09","-2,37E-09","-4,00E-11","1,10E-11","1,34E-10","-9,43E-09"
"-2,95E+00","-4,20E-07","-4,77E-08","-2,84E-08","-9,15E-09","-1,02E-08","-4,47E-09","-2,00E-09","-1,80E-11","-4,00E-12","-1,30E-11","-8,54E-09"
"-2,90E+00","-4,04E-07","-1,28E-08","-2,72E-08","-8,95E-09","-8,14E-09","-4,07E-09","-1,29E-09","-6,00E-11","-1,10E-11","-9,00E-12","-4,44E-09"
"-2,85E+00","-3,77E-07","-1,32E-08","-2,85E-08","-7,48E-09","-8,66E-09","-3,71E-09","-1,17E-09","-3,20E-11","-2,20E-11","-4,20E-11","-3,90E-09"
"-2,80E+00","-3,63E-07","-1,44E-08","-2,48E-08","-7,05E-09","-6,45E-09","-3,17E-09","-1,00E-09","-1,50E-11","-2,00E-12","-3,60E-11","-4,29E-09"
"-2,75E+00","-3,40E-07","-1,49E-08","-2,40E-08","-7,74E-09","-8,16E-09","-3,01E-09","-7,29E-10","5,90E-11","-6,00E-12","-1,10E-11","-4,95E-09"
"-2,70E+00","-4,02E-07","-1,22E-08","-2,28E-08","-5,77E-09","-5,16E-09","-2,68E-09","-7,29E-10","-2,00E-12","1,40E-11","5,30E-11","-2,88E-09"
"-2,65E+00","-3,94E-07","-1,16E-08","-2,43E-08","-7,53E-09","-5,61E-09","-2,40E-09","-6,72E-10","-2,00E-12","4,00E-12","7,00E-12","-4,64E-09"
"-2,60E+00","-3,67E-07","-1,12E-08","-2,47E-08","-5,12E-09","-6,79E-09","-2,05E-09","-6,89E-10","-8,00E-12","1,00E-12","-2,00E-12","-3,24E-09"
"-2,55E+00","-3,33E-07","-1,02E-08","-2,03E-08","-4,87E-09","-5,90E-09","-1,39E-09","-5,67E-10","-1,90E-11","-5,10E-11","-2,80E-11","-2,59E-09"
"-2,50E+00","-3,07E-07","-1,01E-08","-2,09E-08","-5,97E-09","-4,17E-09","-1,67E-09","-7,14E-10","-9,00E-12","-3,10E-11","-2,10E-11","-2,79E-09"
"-2,45E+00","-3,15E-07","-8,49E-09","-1,80E-08","-4,88E-09","-5,31E-09","-1,48E-09","-4,39E-10","-7,00E-12","4,00E-12","-1,60E-11","-2,47E-09"
"-2,40E+00","-3,01E-07","-9,11E-09","-1,80E-08","-3,86E-09","-5,00E-09","-7,05E-10","-5,27E-10","1,30E-11","4,70E-11","-5,00E-12","-1,55E-09"
"-2,35E+00","-2,71E-07","-8,13E-09","-1,86E-08","-3,60E-09","-4,36E-09","-8,01E-10","-5,23E-10","-6,00E-12","0,00E+00","2,10E-11","-1,63E-09"
"-2,30E+00","-2,60E-07","-8,76E-09","-1,59E-08","-2,24E-09","-4,35E-09","-7,21E-10","-4,53E-10","-1,00E-12","-7,00E-12","-1,00E-11","-1,87E-09"
"-2,25E+00","-2,80E-07","-9,09E-09","-1,72E-08","-2,21E-09","-3,09E-09","-6,82E-10","-4,15E-10","-6,20E-11","-7,00E-11","-6,00E-12","-1,45E-09"
"-2,20E+00","-2,23E-07","-8,94E-09","-1,53E-08","-2,47E-09","-2,54E-09","-5,69E-10","-2,17E-10","-3,00E-11","-3,00E-11","-5,80E-11","-8,31E-10"
"-2,15E+00","-2,34E-07","-8,35E-09","-1,46E-08","-2,01E-09","-3,00E-09","-4,48E-10","-1,90E-10","0,00E+00","3,00E-12","-3,60E-11","-1,11E-09"
"-2,10E+00","-2,01E-07","-7,19E-09","-1,36E-08","-2,65E-09","-3,06E-09","-3,21E-10","-1,57E-10","4,30E-11","1,41E-10","-3,00E-12","-1,01E-09"
"-2,05E+00","-1,83E-07","-7,17E-09","-1,39E-08","-2,20E-09","-2,36E-09","-2,93E-10","-1,61E-10","5,00E-12","5,00E-12","3,50E-11","-1,13E-09"
"-2,00E+00","-1,82E-07","-6,42E-09","-1,26E-08","-1,75E-09","-2,06E-09","-2,60E-10","-1,35E-10","-6,00E-12","-3,00E-12","-6,00E-12","-8,19E-10"
"-1,95E+00","-1,82E-07","-6,39E-09","-1,18E-08","-1,65E-09","-1,67E-09","-2,13E-10","-1,49E-10","-7,30E-11","-3,60E-11","8,00E-12","-7,09E-10"
"-1,90E+00","-1,74E-07","-6,13E-09","-1,05E-08","-1,34E-09","-1,45E-09","-1,80E-10","-1,09E-10","-3,10E-11","-1,50E-11","-7,50E-11","-7,80E-10"
"-1,85E+00","-1,66E-07","-5,90E-09","-1,03E-08","-1,68E-09","-1,30E-09","-1,44E-10","-7,60E-11","-2,00E-12","1,00E-12","-3,60E-11","-5,93E-10"
"-1,80E+00","-1,71E-07","-5,46E-09","-9,80E-09","-1,23E-09","-1,67E-09","-8,60E-11","-4,20E-11","9,40E-11","1,37E-10","4,00E-12","-5,39E-10"
"-1,75E+00","-1,54E-07","-5,87E-09","-9,35E-09","-1,33E-09","-1,33E-09","-6,40E-11","-5,40E-11","-6,00E-12","1,10E-11","1,43E-10","-4,77E-10"
"-1,70E+00","-1,44E-07","-5,46E-09","-8,88E-09","-9,34E-10","-1,23E-09","-4,50E-11","-4,70E-11","1,00E-11","5,00E-12","-3,00E-12","-4,10E-10"
"-1,65E+00","-1,35E-07","-5,15E-09","-8,42E-09","-1,17E-09","-8,25E-10","-5,50E-11","-5,00E-11","-5,10E-11","-2,00E-11","4,00E-12","-3,83E-10"
"-1,60E+00","-1,36E-07","-4,36E-09","-7,14E-09","-8,53E-10","-7,87E-10","-8,80E-11","-3,80E-11","-2,90E-11","-1,40E-11","-2,50E-11","-2,71E-10"
"-1,55E+00","-1,61E-07","-4,78E-09","-7,25E-09","-1,05E-09","-6,11E-10","-6,40E-11","-1,30E-11","5,00E-12","-9,00E-12","-2,30E-11","-2,00E-10"
"-1,50E+00","-1,56E-07","-4,70E-09","-6,41E-09","-7,74E-10","-6,45E-10","-1,90E-11","0,00E+00","1,45E-10","1,20E-11","-5,00E-12","-1,92E-10"
"-1,45E+00","-1,20E-07","-4,29E-09","-5,95E-09","-5,82E-10","-5,60E-10","3,10E-11","-1,40E-11","1,30E-11","1,50E-11","5,90E-11","-1,78E-10"
"-1,40E+00","-1,17E-07","-3,97E-09","-5,76E-09","-2,88E-10","-3,82E-10","-1,40E-11","-1,90E-11","0,00E+00","-2,00E-12","-2,00E-12","-2,06E-10"
"-1,35E+00","-1,34E-07","-3,56E-09","-5,45E-09","-5,15E-10","-2,09E-10","-2,00E-12","-9,80E-11","-1,70E-11","-1,20E-11","8,00E-12","-1,26E-10"
"-1,30E+00","-1,16E-07","-3,58E-09","-4,63E-09","-4,19E-10","-3,13E-10","-9,40E-11","-4,30E-11","-1,70E-11","-2,20E-11","-3,50E-11","-1,11E-10"
"-1,25E+00","-8,51E-08","-3,34E-09","-4,72E-09","-3,68E-10","-2,64E-10","-2,80E-11","5,00E-12","6,00E-12","-2,30E-11","-1,10E-11","-4,70E-11"
"-1,20E+00","-8,50E-08","-3,03E-09","-4,53E-09","-3,67E-10","-3,24E-10","-6,00E-12","1,15E-10","1,30E-11","9,00E-12","1,00E-12","-7,70E-11"
"-1,15E+00","-8,18E-08","-2,79E-09","-4,02E-09","-2,81E-10","-2,24E-10","1,81E-10","-1,00E-12","2,20E-11","1,20E-11","1,50E-11","-6,00E-11"
"-1,10E+00","-8,07E-08","-2,75E-09","-3,61E-09","-2,32E-10","-1,69E-10","6,00E-12","-1,10E-11","1,00E-12","5,00E-12","2,00E-11","-1,35E-10"
"-1,05E+00","-8,30E-08","-2,11E-09","-3,31E-09","-1,94E-10","3,60E-11","3,00E-12","-7,70E-11","4,00E-12","-9,00E-12","-6,00E-12","-5,70E-11"
"-1,00E+00","-7,66E-08","-2,18E-09","-3,11E-09","-1,89E-10","-1,23E-10","-4,90E-11","-3,70E-11","-1,80E-11","-6,80E-11","-4,00E-12","-4,60E-11"
"-9,50E-01","-6,70E-08","-2,00E-09","-2,95E-09","-1,48E-10","-1,15E-10","-2,30E-11","0,00E+00","-9,00E-12","-3,20E-11","-6,90E-11","1,19E-10"
"-9,00E-01","-6,25E-08","-1,98E-09","-2,60E-09","-1,74E-10","-1,27E-10","-3,00E-12","1,65E-10","7,00E-12","-9,00E-12","-3,60E-11","-2,00E-11"
"-8,50E-01","-6,63E-08","-1,88E-09","-2,46E-09","-1,44E-10","-1,09E-10","6,40E-11","-1,00E-11","3,00E-11","4,70E-11","-2,00E-12","-2,10E-11"
"-8,00E-01","-5,94E-08","-1,67E-09","-2,12E-09","-1,00E-10","-7,40E-11","2,00E-12","-8,00E-12","1,40E-11","-2,00E-12","5,30E-11","-5,60E-11"
"-7,50E-01","-5,52E-08","-1,45E-09","-1,98E-09","-8,70E-11","-5,40E-11","4,00E-12","-3,30E-11","1,20E-11","1,00E-12","2,00E-12","-3,90E-11"
"-7,00E-01","-4,94E-08","-1,36E-09","-1,77E-09","-8,30E-11","-4,10E-11","-2,00E-12","-1,60E-11","-6,10E-11","-6,90E-11","6,00E-12","-3,20E-11"
"-6,50E-01","-4,53E-08","-1,16E-09","-1,58E-09","-8,40E-11","-5,10E-11","-1,70E-11","-8,00E-12","-2,00E-11","-3,50E-11","-7,20E-11","4,90E-11"
"-6,00E-01","-4,27E-08","-1,09E-09","-1,42E-09","-1,59E-10","-4,90E-11","-1,20E-11","2,00E-12","9,00E-12","3,00E-12","-2,40E-11","-2,00E-12"
"-5,50E-01","-3,93E-08","-9,82E-10","-1,35E-09","-7,70E-11","-4,90E-11","-5,00E-12","2,00E-11","1,03E-10","1,44E-10","6,00E-12","8,00E-12"
"-5,00E-01","-3,52E-08","-1,19E-09","-1,19E-09","-4,30E-11","-3,70E-11","1,60E-11","8,00E-12","1,20E-11","-8,00E-12","1,53E-10","-1,40E-11"
"-4,50E-01","-3,09E-08","-8,51E-10","-1,07E-09","8,40E-11","-2,20E-11","9,00E-12","-1,30E-11","2,00E-12","3,00E-12","1,00E-11","-1,90E-11"
"-4,00E-01","-2,86E-08","-7,46E-10","-9,18E-10","-2,90E-11","3,00E-12","-5,00E-12","-2,70E-11","-4,10E-11","-4,20E-11","1,10E-11","-1,40E-11"
"-3,50E-01","-2,59E-08","-2,93E-10","-7,76E-10","-3,30E-11","-1,40E-11","-5,10E-11","-1,60E-11","-2,50E-11","-1,20E-11","-2,60E-11","0,00E+00"
"-3,00E-01","-2,25E-08","-5,55E-10","-6,74E-10","-1,02E-10","-9,00E-12","-2,70E-11","2,00E-12","1,10E-11","-8,00E-12","-3,40E-11","1,80E-11"
"-2,50E-01","-1,95E-08","-4,66E-10","-5,91E-10","-4,10E-11","-1,10E-10","1,20E-11","2,90E-11","1,46E-10","1,37E-10","4,00E-12","-1,00E-12"
"-2,00E-01","-1,67E-08","-5,40E-10","-6,12E-10","-1,30E-11","-3,50E-11","4,40E-11","4,00E-12","1,80E-11","1,00E-12","6,40E-11","2,00E-12"
"-1,50E-01","-1,40E-08","-2,77E-10","-4,09E-10","1,94E-10","9,00E-12","1,10E-11","1,30E-11","1,00E-11","-2,00E-12","8,00E-12","-4,10E-11"
"-1,00E-01","-1,11E-08","-1,40E-10","-2,94E-10","-7,00E-12","5,00E-11","-4,00E-12","-7,70E-11","-2,30E-11","-2,70E-11","3,00E-12","-1,90E-11"
"-5,00E-02","-7,62E-09","1,99E-10","-2,08E-10","-9,00E-12","2,00E-12","-9,40E-11","-2,10E-11","-1,90E-11","-2,00E-11","-2,40E-11","1,50E-11"
"0,00E+00","6,83E-10","4,20E-11","2,60E-11","-1,90E-11","1,60E-11","-1,90E-11","4,00E-12","-5,00E-12","-5,00E-12","-1,30E-11","6,90E-11"
"5,00E-02","2,55E-08","1,65E-10","1,05E-09","2,30E-11","-7,20E-11","1,80E-11","1,31E-10","3,30E-11","3,00E-12","-3,00E-12","-3,00E-12"
"1,00E-01","8,86E-08","2,68E-10","4,93E-09","3,73E-10","2,78E-10","1,28E-10","1,10E-11","1,50E-11","1,30E-11","-1,10E-11","5,30E-11"
"1,50E-01","2,51E-07","3,85E-10","1,94E-08","1,87E-09","1,52E-09","5,90E-11","4,90E-11","9,00E-12","1,00E-12","2,30E-11","3,47E-10"
"2,00E-01","6,63E-07","5,66E-10","6,24E-08","8,10E-09","6,85E-09","3,64E-10","2,27E-10","-1,00E-12","-8,00E-12","8,00E-12","2,20E-09"
"2,50E-01","1,53E-06","5,98E-10","1,88E-07","3,11E-08","2,52E-08","2,16E-09","1,46E-09","3,00E-11","-2,80E-11","1,70E-11","8,81E-09"
"3,00E-01","3,11E-06","9,04E-10","4,62E-07","1,05E-07","8,46E-08","1,14E-08","9,12E-09","8,04E-10","-1,90E-11","2,38E-10","2,95E-08"
"3,50E-01","6,05E-06","1,04E-09","1,20E-06","3,16E-07","2,81E-07","5,82E-08","4,28E-08","3,20E-09","1,70E-10","2,94E-09","9,88E-08"
"4,00E-01","1,09E-05","1,22E-09","2,71E-06","9,33E-07","8,03E-07","2,23E-07","1,90E-07","2,62E-08","3,05E-09","1,70E-08","3,13E-07"
"4,50E-01","1,78E-05","1,26E-09","5,36E-06","2,14E-06","1,92E-06","6,58E-07","5,42E-07","1,08E-07","2,79E-08","7,13E-08","8,37E-07"
"5,00E-01","2,89E-05","1,65E-09","1,03E-05","4,72E-06","4,27E-06","1,78E-06","1,53E-06","3,29E-07","1,57E-07","2,57E-07","2,08E-06"
"5,50E-01","4,51E-05","1,82E-09","1,84E-05","9,43E-06","8,64E-06","4,14E-06","3,69E-06","1,08E-06","3,78E-07","8,63E-07","4,52E-06"
