Volt	Amp	¹
-3,000000E+0	-241,500000E-9	1
-2,900000E+0	-227,520000E-9	2
-2,800000E+0	-211,060000E-9	3
-2,700000E+0	-188,365000E-9	4
-2,600000E+0	-187,165000E-9	5
-2,500000E+0	-178,353000E-9	6
-2,400000E+0	-177,829000E-9	7
-2,300000E+0	-157,895000E-9	8
-2,200000E+0	-141,307000E-9	9
-2,100000E+0	-130,751000E-9	10
-2,000000E+0	-121,992000E-9	11
-1,900000E+0	-127,483000E-9	12
-1,800000E+0	-110,853000E-9	13
-1,700000E+0	-99,872000E-9	14
-1,600000E+0	-96,095000E-9	15
-1,500000E+0	-87,955000E-9	16
-1,400000E+0	-75,768000E-9	17
-1,300000E+0	-70,416000E-9	18
-1,200000E+0	-63,669000E-9	19
-1,100000E+0	-61,940000E-9	20
-1,000000E+0	-49,837000E-9	21
-900,000000E-3	-43,402000E-9	22
-800,000000E-3	-39,693000E-9	23
-700,000000E-3	-35,041000E-9	24
-600,000000E-3	-29,174000E-9	25
-500,000000E-3	-24,941000E-9	26
-400,000000E-3	-20,865000E-9	27
-300,000000E-3	-16,613000E-9	28
-200,000000E-3	-11,485000E-9	29
-100,000000E-3	-7,482000E-9	30
0,000000E+0	111,000000E-12	31
100,000000E-3	45,924000E-9	32
200,000000E-3	363,240000E-9	33
300,000000E-3	2,044840E-6	34
400,000000E-3	11,221100E-6	35
500,000000E-3	52,691000E-6	36
600,000000E-3	219,400000E-6	37
700,000000E-3	658,360000E-6	38
800,000000E-3	1,538650E-3	39
900,000000E-3	2,998300E-3	40
1,000000E+0	4,923200E-3	41
1,100000E+0	7,409200E-3	42
1,200000E+0	10,221000E-3	43
1,300000E+0	10,990600E-3	44
1,400000E+0	11,098400E-3	45
1,500000E+0	11,158800E-3	46
1,600000E+0	11,202100E-3	47
1,700000E+0	11,234100E-3	48
1,800000E+0	11,260900E-3	49
1,900000E+0	11,282700E-3	50
2,000000E+0	11,302100E-3	51
2,100000E+0	11,318500E-3	52
2,200000E+0	11,333800E-3	53
2,300000E+0	11,347000E-3	54
2,400000E+0	11,359100E-3	55
2,500000E+0	11,370600E-3	56
2,600000E+0	11,380900E-3	57
2,700000E+0	11,390800E-3	58
2,800000E+0	11,399700E-3	59
2,900000E+0	11,408400E-3	60
3,000000E+0	11,416300E-3	61
